time,event_id,source_event_id,element_name,element_type,event_type,item,reason
2025-07-03 13:37:03.818116159 UTC,P1_000668,P1_000667,Process1,DiscreteProcess,ProcessFinish,"{""id"":220}",
2025-07-03 13:37:03.818116159 UTC,P1_000669,P1_000668,Process1,DiscreteProcess,WithdrawRequest,,
2025-07-03 13:37:03.818116159 UTC,P1_000670,P1_000669,Process1,DiscreteProcess,ProcessStart,"{""id"":221}",
2025-07-03 13:37:03.818116160 UTC,P2_001750,Q2_001970,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-03 13:37:03.818116160 UTC,P2_001751,P2_001750,Process2,DiscreteParallelProcess,ProcessStart,"{""id"":220}",
2025-07-03 13:37:03.818116160 UTC,P2_001752,P2_001751,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-03 13:37:03.818116161 UTC,P2_001753,Q2_001973,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-03 13:42:36.458323358 UTC,SRC_000571,SRC_000570,Source,DiscreteSource,ProcessFinish,"{""id"":230}",
2025-07-03 13:42:36.458323358 UTC,SRC_000572,SRC_000571,Source,DiscreteSource,ProcessStart,"{""id"":231}",
2025-07-03 13:45:17.764246970 UTC,P2_001754,P2_001747,Process2,DiscreteParallelProcess,ProcessFinish,"{""id"":219}",
