time,event_id,source_event_id,element_name,element_type,event_type,total,inflows,outflows,reason
2025-01-01 00:01:19.000000001 UTC,_000086,_000085,Process,VectorProcess,ProcessStart,1.0,"[{""x"":0.09999999999999992,""y"":0.3999999999999997,""z"":0.5000000000000002}]",,
2025-01-01 00:01:20 UTC,_000159,_000158,Source,VectorSource,ProcessSuccess,1.0,,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",
2025-01-01 00:01:20 UTC,_000160,_000159,Source,VectorSource,ProcessStart,1.0,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",,
2025-01-01 00:01:20.000000001 UTC,_000087,_000167,Process,VectorProcess,ProcessSuccess,0.9999999999999998,,"[{""x"":0.09999999999999992,""y"":0.3999999999999997,""z"":0.5000000000000002}]",
2025-01-01 00:01:20.000000001 UTC,_000088,_000087,Process,VectorProcess,WithdrawRequest,,,,
2025-01-01 00:01:20.000000001 UTC,_000089,_000088,Process,VectorProcess,ProcessStart,1.0,"[{""x"":0.09999999999999992,""y"":0.3999999999999997,""z"":0.5000000000000002}]",,
2025-01-01 00:01:21 UTC,_000161,_000160,Source,VectorSource,ProcessSuccess,1.0,,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",
2025-01-01 00:01:21 UTC,_000162,_000161,Source,VectorSource,ProcessStart,1.0,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",,
2025-01-01 00:01:21.000000001 UTC,_000090,_000171,Process,VectorProcess,ProcessSuccess,0.9999999999999998,,"[{""x"":0.09999999999999992,""y"":0.3999999999999997,""z"":0.5000000000000002}]",
2025-01-01 00:01:21.000000001 UTC,_000091,_000090,Process,VectorProcess,WithdrawRequest,,,,
2025-01-01 00:01:21.000000001 UTC,_000092,_000091,Process,VectorProcess,ProcessStart,1.0,"[{""x"":0.09999999999999992,""y"":0.3999999999999997,""z"":0.5000000000000002}]",,
2025-01-01 00:01:22 UTC,_000163,_000162,Source,VectorSource,ProcessSuccess,1.0,,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",
2025-01-01 00:01:22 UTC,_000164,_000163,Source,VectorSource,ProcessStart,1.0,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",,
2025-01-01 00:01:22.000000001 UTC,_000093,_000175,Process,VectorProcess,ProcessSuccess,0.9999999999999998,,"[{""x"":0.09999999999999992,""y"":0.3999999999999997,""z"":0.5000000000000002}]",
2025-01-01 00:01:22.000000001 UTC,_000094,_000093,Process,VectorProcess,WithdrawRequest,,,,
2025-01-01 00:01:22.000000001 UTC,_000095,_000094,Process,VectorProcess,ProcessStart,1.0,"[{""x"":0.09999999999999992,""y"":0.3999999999999997,""z"":0.5000000000000002}]",,
2025-01-01 00:01:23 UTC,_000165,_000164,Source,VectorSource,ProcessSuccess,1.0,,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",
2025-01-01 00:01:23 UTC,_000166,_000165,Source,VectorSource,ProcessStart,1.0,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",,
2025-01-01 00:01:23.000000001 UTC,_000096,_000179,Process,VectorProcess,ProcessSuccess,0.9999999999999998,,"[{""x"":0.09999999999999992,""y"":0.3999999999999997,""z"":0.5000000000000002}]",
2025-01-01 00:01:23.000000001 UTC,_000097,_000096,Process,VectorProcess,WithdrawRequest,,,,
2025-01-01 00:01:23.000000001 UTC,_000098,_000097,Process,VectorProcess,ProcessStart,1.0,"[{""x"":0.09999999999999992,""y"":0.3999999999999997,""z"":0.5000000000000002}]",,
2025-01-01 00:01:24 UTC,_000167,_000166,Source,VectorSource,ProcessSuccess,1.0,,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",
2025-01-01 00:01:24 UTC,_000168,_000167,Source,VectorSource,ProcessStart,1.0,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",,
2025-01-01 00:01:24.000000001 UTC,_000099,_000183,Process,VectorProcess,ProcessSuccess,0.9999999999999998,,"[{""x"":0.09999999999999992,""y"":0.3999999999999997,""z"":0.5000000000000002}]",
2025-01-01 00:01:24.000000001 UTC,_000100,_000099,Process,VectorProcess,WithdrawRequest,,,,
2025-01-01 00:01:24.000000001 UTC,_000101,_000100,Process,VectorProcess,ProcessStart,1.0,"[{""x"":0.09999999999999992,""y"":0.3999999999999997,""z"":0.5000000000000002}]",,
2025-01-01 00:01:25 UTC,_000169,_000168,Source,VectorSource,ProcessSuccess,1.0,,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",
2025-01-01 00:01:25 UTC,_000170,_000169,Source,VectorSource,ProcessStart,1.0,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",,
2025-01-01 00:01:25.000000001 UTC,_000102,_000187,Process,VectorProcess,ProcessSuccess,0.9999999999999998,,"[{""x"":0.09999999999999992,""y"":0.3999999999999997,""z"":0.5000000000000002}]",
2025-01-01 00:01:25.000000001 UTC,_000103,_000102,Process,VectorProcess,WithdrawRequest,,,,
2025-01-01 00:01:25.000000001 UTC,_000104,_000103,Process,VectorProcess,ProcessStart,1.0,"[{""x"":0.09999999999999992,""y"":0.3999999999999997,""z"":0.5000000000000002}]",,
2025-01-01 00:01:26 UTC,_000171,_000170,Source,VectorSource,ProcessSuccess,1.0,,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",
2025-01-01 00:01:26 UTC,_000172,_000171,Source,VectorSource,ProcessStart,1.0,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",,
2025-01-01 00:01:26.000000001 UTC,_000105,_000191,Process,VectorProcess,ProcessSuccess,0.9999999999999998,,"[{""x"":0.09999999999999992,""y"":0.3999999999999997,""z"":0.5000000000000002}]",
2025-01-01 00:01:26.000000001 UTC,_000106,_000105,Process,VectorProcess,WithdrawRequest,,,,
2025-01-01 00:01:26.000000001 UTC,_000107,_000106,Process,VectorProcess,ProcessStart,1.0,"[{""x"":0.09999999999999992,""y"":0.3999999999999997,""z"":0.5000000000000002}]",,
2025-01-01 00:01:27 UTC,_000173,_000172,Source,VectorSource,ProcessSuccess,1.0,,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",
2025-01-01 00:01:27 UTC,_000174,_000173,Source,VectorSource,ProcessStart,1.0,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",,
2025-01-01 00:01:27.000000001 UTC,_000108,_000195,Process,VectorProcess,ProcessSuccess,0.9999999999999998,,"[{""x"":0.09999999999999992,""y"":0.3999999999999997,""z"":0.5000000000000002}]",
2025-01-01 00:01:27.000000001 UTC,_000109,_000108,Process,VectorProcess,WithdrawRequest,,,,
2025-01-01 00:01:27.000000001 UTC,_000110,_000109,Process,VectorProcess,ProcessStart,1.0,"[{""x"":0.09999999999999992,""y"":0.3999999999999997,""z"":0.5000000000000002}]",,
2025-01-01 00:01:28 UTC,_000175,_000174,Source,VectorSource,ProcessSuccess,1.0,,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",
