time,event_id,element_name,element_type,event_type,truck_id,total,fe,other_elements,fe_%,magnetite,hematite,limonite,message
2025-05-01 00:12:19.551875698 UTC,PR-LOADING_000050,loading_process,LoadingProcess,ProcessSuccess,Truck_02,5.0,3.0,2.0,0.6,0.5,0.25,0.75,
2025-05-01 00:12:19.551875698 UTC,PR-LOADING_000051,loading_process,LoadingProcess,ProcessFailure,,,,,,,,,Upstream truck stock is empty or not connected
2025-05-01 00:12:19.551875699 UTC,PR-LOADMOV_000069,loaded_truck_movements,LoadedTruckMovements,WithdrawRequest,,,,,,,,,
2025-05-01 00:12:19.551875699 UTC,PR-LOADING_000052,loading_process,LoadingProcess,ProcessFailure,,,,,,,,,Upstream truck stock is empty or not connected
2025-05-01 00:12:19.551875699 UTC,PR-LOADMOV_000070,loaded_truck_movements,LoadedTruckMovements,TruckMovementStart,Truck_02,,,,,,,,
2025-05-01 00:12:19.551875699 UTC,PR-LOADMOV_000071,loaded_truck_movements,LoadedTruckMovements,WithdrawRequest,,,,,,,,,
2025-05-01 00:12:19.551875700 UTC,PR-LOADMOV_000072,loaded_truck_movements,LoadedTruckMovements,WithdrawRequest,,,,,,,,,
2025-05-01 00:12:19.551875700 UTC,PR-LOADING_000053,loading_process,LoadingProcess,ProcessFailure,,,,,,,,,Upstream truck stock is empty or not connected
2025-05-01 00:13:51.785841533 UTC,PR-DUMPMOV_000062,dumped_truck_movements,DumpedTruckMovements,TruckMovementSuccess,Truck_00,,,,,,,,
2025-05-01 00:13:51.785841533 UTC,PR-DUMPMOV_000063,dumped_truck_movements,DumpedTruckMovements,WithdrawRequest,,,,,,,,,
2025-05-01 00:13:51.785841534 UTC,PR-DUMPMOV_000064,dumped_truck_movements,DumpedTruckMovements,WithdrawRequest,,,,,,,,,
2025-05-01 00:13:51.785841534 UTC,PR-LOADING_000054,loading_process,LoadingProcess,WithdrawRequest,,,,,,,,,
2025-05-01 00:13:51.785841534 UTC,PR-LOADING_000055,loading_process,LoadingProcess,ProcessStart,Truck_00,5.0,3.0,2.0,0.6,0.5,0.25,0.75,
2025-05-01 00:13:51.785841535 UTC,PR-DUMPMOV_000065,dumped_truck_movements,DumpedTruckMovements,WithdrawRequest,,,,,,,,,
2025-05-01 00:13:53.362844412 UTC,PR-LOADING_000056,loading_process,LoadingProcess,ProcessSuccess,Truck_00,5.0,3.0,2.0,0.6,0.5,0.25,0.75,
2025-05-01 00:13:53.362844412 UTC,PR-LOADING_000057,loading_process,LoadingProcess,ProcessFailure,,,,,,,,,Upstream truck stock is empty or not connected
2025-05-01 00:13:53.362844413 UTC,PR-LOADMOV_000073,loaded_truck_movements,LoadedTruckMovements,WithdrawRequest,,,,,,,,,
2025-05-01 00:13:53.362844413 UTC,PR-LOADING_000058,loading_process,LoadingProcess,ProcessFailure,,,,,,,,,Upstream truck stock is empty or not connected
2025-05-01 00:13:53.362844413 UTC,PR-LOADMOV_000074,loaded_truck_movements,LoadedTruckMovements,TruckMovementStart,Truck_00,,,,,,,,
2025-05-01 00:13:53.362844413 UTC,PR-LOADMOV_000075,loaded_truck_movements,LoadedTruckMovements,WithdrawRequest,,,,,,,,,
2025-05-01 00:13:53.362844414 UTC,PR-LOADMOV_000076,loaded_truck_movements,LoadedTruckMovements,WithdrawRequest,,,,,,,,,
2025-05-01 00:13:53.362844414 UTC,PR-LOADING_000059,loading_process,LoadingProcess,ProcessFailure,,,,,,,,,Upstream truck stock is empty or not connected
2025-05-01 00:14:02.593710263 UTC,PR-LOADMOV_000077,loaded_truck_movements,LoadedTruckMovements,TruckMovementSuccess,Truck_02,,,,,,,,
2025-05-01 00:14:02.593710263 UTC,PR-LOADMOV_000078,loaded_truck_movements,LoadedTruckMovements,WithdrawRequest,,,,,,,,,
2025-05-01 00:14:02.593710264 UTC,PR-LOADMOV_000079,loaded_truck_movements,LoadedTruckMovements,WithdrawRequest,,,,,,,,,
2025-05-01 00:14:02.593710264 UTC,PR-DUMPING_000049,dumping_process,DumpingProcess,WithdrawRequest,,,,,,,,,
2025-05-01 00:14:02.593710264 UTC,PR-DUMPING_000050,dumping_process,DumpingProcess,ProcessStart,Truck_02,5.0,3.0,2.0,0.6,0.5,0.25,0.75,
2025-05-01 00:14:02.593710265 UTC,PR-LOADMOV_000080,loaded_truck_movements,LoadedTruckMovements,WithdrawRequest,,,,,,,,,
2025-05-01 00:14:11.248259563 UTC,PR-DUMPING_000051,dumping_process,DumpingProcess,ProcessSuccess,Truck_02,5.0,3.0,2.0,0.6,0.5,0.25,0.75,
2025-05-01 00:14:11.248259563 UTC,PR-DUMPING_000052,dumping_process,DumpingProcess,ProcessFailure,,,,,,,,,Upstream truck stock is empty or not connected
2025-05-01 00:14:11.248259564 UTC,PR-DUMPMOV_000066,dumped_truck_movements,DumpedTruckMovements,WithdrawRequest,,,,,,,,,
2025-05-01 00:14:11.248259564 UTC,PR-DUMPING_000053,dumping_process,DumpingProcess,ProcessFailure,,,,,,,,,Upstream truck stock is empty or not connected
2025-05-01 00:14:11.248259564 UTC,PR-DUMPMOV_000067,dumped_truck_movements,DumpedTruckMovements,TruckMovementStart,Truck_02,,,,,,,,
2025-05-01 00:14:11.248259564 UTC,PR-DUMPMOV_000068,dumped_truck_movements,DumpedTruckMovements,WithdrawRequest,,,,,,,,,
2025-05-01 00:14:11.248259565 UTC,PR-DUMPMOV_000069,dumped_truck_movements,DumpedTruckMovements,WithdrawRequest,,,,,,,,,
2025-05-01 00:14:11.248259565 UTC,PR-DUMPING_000054,dumping_process,DumpingProcess,ProcessFailure,,,,,,,,,Upstream truck stock is empty or not connected
2025-05-01 00:14:12.286878946 UTC,PR-LOADMOV_000081,loaded_truck_movements,LoadedTruckMovements,TruckMovementSuccess,Truck_00,,,,,,,,
2025-05-01 00:14:12.286878946 UTC,PR-LOADMOV_000082,loaded_truck_movements,LoadedTruckMovements,WithdrawRequest,,,,,,,,,
2025-05-01 00:14:12.286878947 UTC,PR-DUMPING_000055,dumping_process,DumpingProcess,WithdrawRequest,,,,,,,,,
